DEBUG   | mcmc.py      | loglik=456460.3/456454.4, aratio=0.00, params=[438778  83232 281882], False
DEBUG   | mcmc.py      | loglik=456459.4/456454.4, aratio=0.01, params=[472374  61998 250926], False
DEBUG   | mcmc.py      | loglik=456494.2/456454.4, aratio=0.00, params=[462469 106935 272941], False
DEBUG   | mcmc.py      | loglik=456457.8/456454.4, aratio=0.02, params=[433880  94292 269422], False
DEBUG   | mcmc.py      | loglik=456448.6/456454.4, aratio=1.00, params=[455948 108364 192888], True
DEBUG   | mcmc.py      | loglik=456440.6/456448.6, aratio=1.00, params=[441285 115790 178892], True
DEBUG   | mcmc.py      | loglik=456441.9/456440.6, aratio=0.28, params=[441463 111014 196073], False
DEBUG   | mcmc.py      | loglik=456437.9/456440.6, aratio=1.00, params=[430446 126490 164221], True
DEBUG   | mcmc.py      | loglik=456442.0/456437.9, aratio=0.02, params=[433793 128818 166275], False
DEBUG   | mcmc.py      | loglik=456450.5/456437.9, aratio=0.00, params=[434521 118545 105490], False
DEBUG   | mcmc.py      | loglik=456424.6/456437.9, aratio=1.00, params=[425840  98951 187642], True
DEBUG   | mcmc.py      | loglik=456414.3/456424.6, aratio=1.00, params=[408387  97456 167399], True
DEBUG   | mcmc.py      | loglik=456416.7/456414.3, aratio=0.12, params=[411509  76445 188950], False
DEBUG   | mcmc.py      | loglik=456421.1/456414.3, aratio=0.00, params=[418158 105965 170657], False
DEBUG   | mcmc.py      | loglik=456421.9/456414.3, aratio=0.00, params=[417435 107527 156527], False
DEBUG   | mcmc.py      | loglik=456418.6/456414.3, aratio=0.02, params=[398131  71861 164532], False
DEBUG   | mcmc.py      | loglik=456419.0/456414.3, aratio=0.01, params=[412666  98757 204620], False
DEBUG   | mcmc.py      | loglik=456422.0/456414.3, aratio=0.00, params=[414071 101969 208085], False
DEBUG   | mcmc.py      | loglik=456435.7/456414.3, aratio=0.00, params=[411550 132682 191288], False
DEBUG   | mcmc.py      | loglik=456430.9/456414.3, aratio=0.00, params=[404486 100235 117826], False
DEBUG   | mcmc.py      | loglik=456431.5/456414.3, aratio=0.00, params=[414857  61873 170186], False
DEBUG   | mcmc.py      | loglik=456476.4/456414.3, aratio=0.00, params=[412278  63530 106473], False
DEBUG   | mcmc.py      | loglik=456423.1/456414.3, aratio=0.00, params=[409494 105659 215898], False
DEBUG   | mcmc.py      | loglik=456401.5/456414.3, aratio=1.00, params=[388746  91214 191950], True
DEBUG   | mcmc.py      | loglik=456404.8/456401.5, aratio=0.05, params=[385717  79183 235986], False
DEBUG   | mcmc.py      | loglik=456399.0/456401.5, aratio=1.00, params=[370648 129300 168728], True
DEBUG   | mcmc.py      | loglik=456401.2/456399.0, aratio=0.10, params=[357508 151332 151735], False
DEBUG   | mcmc.py      | loglik=456399.3/456399.0, aratio=0.80, params=[379482 114507 178187], True
DEBUG   | mcmc.py      | loglik=456450.2/456399.3, aratio=0.00, params=[391394 141840 234557], False
DEBUG   | mcmc.py      | loglik=456402.7/456399.3, aratio=0.04, params=[383569 103135 155181], False
DEBUG   | mcmc.py      | loglik=456398.9/456399.3, aratio=1.00, params=[377219 117635 178794], True
DEBUG   | mcmc.py      | loglik=456413.1/456398.9, aratio=0.00, params=[363657 152287 188007], False
DEBUG   | mcmc.py      | loglik=456398.3/456398.9, aratio=1.00, params=[380671 100105 169018], True
DEBUG   | mcmc.py      | loglik=456399.6/456398.3, aratio=0.27, params=[382810  98719 205408], False
DEBUG   | mcmc.py      | loglik=456413.8/456398.3, aratio=0.00, params=[379885  93997 131122], False
DEBUG   | mcmc.py      | loglik=456396.7/456398.3, aratio=1.00, params=[368916 119783 198576], True
DEBUG   | mcmc.py      | loglik=456404.2/456396.7, aratio=0.00, params=[367249 129250 208346], False
DEBUG   | mcmc.py      | loglik=456389.2/456396.7, aratio=1.00, params=[362899  91068 229069], True
DEBUG   | mcmc.py      | loglik=456407.5/456389.2, aratio=0.00, params=[362401  48154 253626], False
DEBUG   | mcmc.py      | loglik=456404.9/456389.2, aratio=0.00, params=[377686  94361 244963], False
DEBUG   | mcmc.py      | loglik=456394.6/456389.2, aratio=0.00, params=[370105 109896 206461], False
DEBUG   | mcmc.py      | loglik=456387.7/456389.2, aratio=1.00, params=[359483  86462 234821], True
DEBUG   | mcmc.py      | loglik=456380.6/456387.7, aratio=1.00, params=[346417 104832 228910], True
DEBUG   | mcmc.py      | loglik=456380.6/456380.6, aratio=1.00, params=[342430  99374 245357], True
DEBUG   | mcmc.py      | loglik=456386.5/456380.6, aratio=0.00, params=[342366  83085 273940], False
DEBUG   | mcmc.py      | loglik=456368.1/456380.6, aratio=1.00, params=[330545  86544 229198], True
DEBUG   | mcmc.py      | loglik=456369.7/456368.1, aratio=0.21, params=[326066  79257 251447], False
DEBUG   | mcmc.py      | loglik=456373.0/456368.1, aratio=0.01, params=[335874  80355 209181], False
DEBUG   | mcmc.py      | loglik=456365.8/456368.1, aratio=1.00, params=[329078 103373 220792], True
DEBUG   | mcmc.py      | loglik=456367.8/456365.8, aratio=0.10, params=[320706 138657 192812], False
DEBUG   | mcmc.py      | loglik=456381.3/456365.8, aratio=0.00, params=[326162 138595 223685], False
DEBUG   | mcmc.py      | loglik=456364.3/456365.8, aratio=1.00, params=[313313  73397 220721], True
DEBUG   | mcmc.py      | loglik=456383.8/456364.3, aratio=0.00, params=[317209  51347 252312], False
DEBUG   | mcmc.py      | loglik=456354.4/456364.3, aratio=1.00, params=[297844  78300 212344], True
DEBUG   | mcmc.py      | loglik=456346.2/456354.4, aratio=1.00, params=[300102  97365 210056], True
DEBUG   | mcmc.py      | loglik=456367.7/456346.2, aratio=0.00, params=[321430 138892 159163], False
DEBUG   | mcmc.py      | loglik=456365.7/456346.2, aratio=0.00, params=[302515  75889 187016], False
DEBUG   | mcmc.py      | loglik=456351.3/456346.2, aratio=0.01, params=[309662 107827 197494], False
DEBUG   | mcmc.py      | loglik=456331.2/456346.2, aratio=1.00, params=[279169 128165 193354], True
DEBUG   | mcmc.py      | loglik=456333.5/456331.2, aratio=0.11, params=[282545 126447 192854], False
DEBUG   | mcmc.py      | loglik=456330.9/456331.2, aratio=1.00, params=[274307 107011 189077], True
DEBUG   | mcmc.py      | loglik=456360.0/456330.9, aratio=0.00, params=[263423  84908 157656], False
DEBUG   | mcmc.py      | loglik=456342.6/456330.9, aratio=0.00, params=[288151 132481 161684], False
DEBUG   | mcmc.py      | loglik=456322.4/456330.9, aratio=1.00, params=[261535 143744 174551], True
DEBUG   | mcmc.py      | loglik=456329.5/456322.4, aratio=0.00, params=[256775 147094 143092], False
DEBUG   | mcmc.py      | loglik=456329.8/456322.4, aratio=0.00, params=[252414  96441 182185], False
DEBUG   | mcmc.py      | loglik=456348.0/456322.4, aratio=0.00, params=[271235 174925 203043], False
DEBUG   | mcmc.py      | loglik=456322.7/456322.4, aratio=0.76, params=[266965 133121 198330], False
DEBUG   | mcmc.py      | loglik=456305.7/456322.4, aratio=1.00, params=[238284 143113 176387], True
DEBUG   | mcmc.py      | loglik=456322.4/456305.7, aratio=0.00, params=[243026 166853 141704], False
DEBUG   | mcmc.py      | loglik=456319.1/456305.7, aratio=0.00, params=[246958 124105 163094], False
DEBUG   | mcmc.py      | loglik=456297.5/456305.7, aratio=1.00, params=[232497 142113 211373], True
INFO    | mcmc.py      |   50	   0	456297.456	[232497 142113 211373]	0.40	0:06:43	burnin
DEBUG   | mcmc.py      | loglik=456340.9/456297.5, aratio=0.00, params=[216950  79224 191290], False
DEBUG   | mcmc.py      | loglik=456306.9/456297.5, aratio=0.00, params=[234353 146701 163765], False
DEBUG   | mcmc.py      | loglik=456296.8/456297.5, aratio=1.00, params=[230381 137049 195756], True
DEBUG   | mcmc.py      | loglik=456301.8/456296.8, aratio=0.01, params=[236327 140793 230284], False
DEBUG   | mcmc.py      | loglik=456299.1/456296.8, aratio=0.10, params=[231768 147755 187644], False
DEBUG   | mcmc.py      | loglik=456318.7/456296.8, aratio=0.00, params=[248006 155909 156773], False
DEBUG   | mcmc.py      | loglik=456300.9/456296.8, aratio=0.02, params=[219725 106576 206618], False
DEBUG   | mcmc.py      | loglik=456306.1/456296.8, aratio=0.00, params=[234252 168233 183208], False
DEBUG   | mcmc.py      | loglik=456288.8/456296.8, aratio=1.00, params=[221115 137479 227978], True
DEBUG   | mcmc.py      | loglik=456299.7/456288.8, aratio=0.00, params=[231318 129324 255358], False
DEBUG   | mcmc.py      | loglik=456297.2/456288.8, aratio=0.00, params=[226751 109677 236448], False
DEBUG   | mcmc.py      | loglik=456292.9/456288.8, aratio=0.02, params=[214394 116863 203608], False
DEBUG   | mcmc.py      | loglik=456298.2/456288.8, aratio=0.00, params=[222445 170897 174069], False
DEBUG   | mcmc.py      | loglik=456313.9/456288.8, aratio=0.00, params=[237117 174107 211805], False
DEBUG   | mcmc.py      | loglik=456306.9/456288.8, aratio=0.00, params=[232054 161126 234401], False
DEBUG   | mcmc.py      | loglik=456321.1/456288.8, aratio=0.00, params=[230266 125431 146919], False
DEBUG   | mcmc.py      | loglik=456299.5/456288.8, aratio=0.00, params=[231781 152529 216151], False
DEBUG   | mcmc.py      | loglik=456282.9/456288.8, aratio=1.00, params=[205481 170152 225789], True
